Virus name	Accession ID	Pango lineage
Influenza A virus(A/chicken/SocTrang/5/2012(H5N1)) viral cRNA, segment 2,complete genome.	AB818503.1	AiV
BK polyomavirus, complete genome	NC_001538.1	BKPolyomavirus
Human enterovirus D, complete genome.	NC_001430.1	EV
Human adenovirus 2, complete genome.	AC_000007.1	HadV
Hepatitis A virus, complete genome	NC_001489.1	HAV
Hepatitis E virus, complete genome	NC_001434.1	HEV
Human papillomavirus type 16, completegenome.	NC_001526.4	HpyV
C polyomavirus strain #2, complete genome.	MF662181.1	JCPyV
Norovirus GI, complete genome.	NC_001959.2	NoV-GI
Norovirus GII, complete genome.	NC_039477.1	NoV-GII
Human parechovirus 1, complete genome.	FM178558.1	parechovirus
Pepper mild mottle virus, complete genome.	NC_003630.1	PMMV
Mammalian orthoreovirus 3 segment S4, com-plete genome.	NC_013234.1	reovirus
Rotavirus A segment 4, complete genome.	NC_011510.2	RoV-A
Sapovirus Mc10, complete genome	NC_010624.1	sapovirus
SARS coronavirus Tor2, complete genome	NC_004718.3	SARS-CoV-1
