Virus name	Accession ID	Pango lineage
SARS coronavirus Tor2, complete genome.	NC_004718.3	
Middle East respiratory syndrome coronavirus isolate, MERS-CoV/KOR/KNIH/002052015, complete genome.	KT029139.1	
Human coronavirus HKU1 isolate SI17244, complete genome	MH940245.1	
Human coronavirus 229E isolate HCoV-229E/BN1/GER/2015, complete genome	KU291448.1	
Human Coronavirus NL63, complete genome	NC_005831.2	
Human coronavirus OC43 isolate MDS16, com-plete genome	MK303625.1	
hCoV-19/USA/MI-UM-10036231954/2020	EPI_ISL_590722	B.1.593
hCoV-19/USA/FL-BPHL-1743/2020	EPI_ISL_613861	B.1.318
hCoV-19/USA/FL-BPHL-1763/2020	EPI_ISL_613870	B.1.595.1
hCoV-19/USA/FL-BPHL-1766/2020	EPI_ISL_613872	B.1.1.180
hCoV-19/USA/VA-DCLS-1915/2020	EPI_ISL_614063	B.1.452
hCoV-19/USA/UT-UPHL-201103500/2020	EPI_ISL_628953	B.1.444
hCoV-19/USA/MD-MDH-0352/2020	EPI_ISL_648291	B.1.385
hCoV-19/USA/OR-OHSU-3093/2020	EPI_ISL_667479	B.1.521
hCoV-19/USA/MI-UM-10036806080/2020	EPI_ISL_707880	B.1.1.251
hCoV-19/USA/VA-DCLS-2516/2020	EPI_ISL_734226	B.1.1.168
hCoV-19/USA/CA-CHLA-PLM61652845/2020	EPI_ISL_753306	B.1.1.239
hCoV-19/USA/CA-CHLA-PLM13206707/2020	EPI_ISL_753313	B.1.1.239
hCoV-19/USA/CA-CHLA-PLM32737996/2020	EPI_ISL_753402	B.1.1.139
hCoV-19/USA/CA-CHLA-PLM51044374/2020	EPI_ISL_753424	B.1.421
hCoV-19/USA/CA-SEARCH-5516/2020	EPI_ISL_755136	C.28
hCoV-19/USA/MA-MGH-03220/2020	EPI_ISL_765750	B.1.1.441
hCoV-19/USA/TX-HMH-MCoV-18293/2020	EPI_ISL_784641	B.1.566
hCoV-19/USA/TX-HMH-MCoV-16158/2020	EPI_ISL_785842	B.1.581
